c instance by G2
c solution = 0010110101110110000000110111001110000100
c Known solution cost is 9197
p cnf 40 50
w 161 491 61 213 35 376 296 419 198 100 424 465 445 474 170 26 13 82 41 418 354 379 226 52 350 139 130 240 339 204 478 154 83 141 39 417 255 43 174 92
-27 38 21 0
29 32 39 0
3 -11 18 0
-5 -24 12 0
-5 30 11 0
-18 -26 -5 0
-27 18 5 0
-33 -15 -20 0
-29 39 -26 0
20 -28 -9 0
-15 -20 -14 0
-37 1 22 0
2 -6 -4 0
23 36 15 0
-16 7 13 0
-23 -33 15 0
-11 4 -19 0
-30 -5 -24 0
39 -6 -17 0
1 25 -35 0
-24 26 -27 0
-15 8 -14 0
-26 -21 22 0
-13 -31 7 0
-16 -1 17 0
-28 -36 9 0
36 10 40 0
-23 -2 1 0
-21 16 -8 0
29 -11 -1 0
-38 35 11 0
14 9 -24 0
27 40 -11 0
34 39 23 0
-32 31 29 0
-38 29 23 0
-11 28 -26 0
-26 -34 -5 0
13 8 31 0
-22 13 -10 0
-39 17 -32 0
-14 6 -28 0
-31 -40 -8 0
-23 4 -17 0
35 40 33 0
4 24 25 0
-25 18 7 0
-30 6 38 0
1 -20 -8 0
35 19 -7 0
