,variables,clauses,fitness,duration
0,100,150,4032,4.780486473
1,100,150,3587,4.655372727
2,100,150,3623,4.782588218
3,100,150,4177,4.946206359
4,100,150,2960,4.710531102
5,100,150,2946,4.747294002
6,100,150,2536,4.772127469
7,100,150,2605,4.6044952619999995
8,100,150,4137,4.695012632
9,100,150,-1,4.632393128
10,100,150,3506,4.789983909
11,100,150,3724,4.817250077
12,100,150,3090,4.7593091119999995
13,100,150,2587,4.54951888
14,100,150,3357,4.971133423
15,100,150,4012,4.741797538
16,100,150,3629,4.884765376
17,100,150,3294,4.705090049
18,100,150,2965,4.777738598
19,100,150,3678,4.711897928
20,100,150,-1,4.621276943
21,100,150,2699,4.607550799
22,100,150,3285,4.606166438
23,100,150,3438,4.854193433
24,100,150,3499,4.665882109
25,100,150,-1,4.7693269439999995
26,100,150,2995,4.880314686
27,100,150,3250,4.736500317
28,100,150,3749,4.729919679
29,100,150,3797,4.869842921
30,100,150,-1,4.88935407
31,100,150,3187,4.5537575089999995
32,100,150,-1,4.712098435
33,100,150,2915,4.502620242
34,100,150,-1,4.603397644
35,100,150,3725,4.6580374739999995
36,100,150,-1,4.916176768
37,100,150,-1,4.842156302
38,100,150,2765,4.584640155
39,100,150,3265,4.752434052
40,100,150,3006,4.917714733
41,100,150,2797,4.590938817
42,100,150,3442,4.998924429
43,100,150,-1,4.69913268
44,100,150,3353,4.838315087
45,100,150,3149,4.708451472
46,100,150,2642,4.763137051
47,100,150,3561,4.646644787
48,100,150,-2,4.779437462
49,100,150,3645,4.677191327
50,100,150,3753,4.83452063
51,100,150,3682,4.6449093889999995
52,100,150,-1,4.563079581
53,100,150,3615,4.945641209
54,100,150,3480,4.89612119
55,100,150,3423,5.5556644770000005
56,100,150,-1,4.974861874
57,100,150,2847,5.615017442
58,100,150,3395,5.071084808
59,100,150,3948,5.562975708
60,100,150,3606,5.609103892
61,100,150,2909,5.537124799
62,100,150,3433,7.286349895
63,100,150,-1,10.964109277999999
64,100,150,3938,6.782509488
65,100,150,3486,8.380574825
66,100,150,3196,5.812912787
67,100,150,3358,5.135555588
68,100,150,3936,5.579033172999999
69,100,150,3917,4.88646524
70,100,150,3509,5.173710076
71,100,150,4409,5.366108103999999
72,100,150,3471,5.857138174
73,100,150,3060,4.888560377
74,100,150,3624,4.707129724
75,100,150,3981,4.630542138
76,100,150,3688,4.776280318
77,100,150,3743,4.693841377
78,100,150,-1,4.698328728
79,100,150,-1,4.939445146000001
80,100,150,3381,4.830565775
81,100,150,3487,4.813949646
82,100,150,3477,4.601844467
83,100,150,4063,4.551916969
84,100,150,3413,4.870766616
85,100,150,-1,5.134725906
86,100,150,-1,5.162611766
87,100,150,3793,5.1630492089999995
88,100,150,3530,4.798182096000001
89,100,150,-1,4.731521644
90,100,150,-1,5.238196169
91,100,150,-1,4.801054061
92,100,150,2931,4.867390267
93,100,150,3718,4.739649576000001
94,100,150,3770,4.319635469
95,100,150,3224,4.689238458
96,100,150,2482,4.531937517
97,100,150,4348,4.963275633
98,100,150,3819,5.730815627999999
99,100,150,3989,5.726615852
