,variables,clauses,fitness,duration
0,100,150,-1,1.710481765
1,100,150,2598,1.68482608
2,100,150,-1,1.8505041359999999
3,100,150,2629,1.8150865809999999
4,100,150,-1,1.701542806
5,100,150,-1,1.752528435
6,100,150,-2,1.795032554
7,100,150,2636,1.7607760140000002
8,100,150,-1,1.765824506
9,100,150,-1,1.726343665
10,100,150,-1,1.695716326
11,100,150,-1,1.727807109
12,100,150,-1,1.7355248280000002
13,100,150,3282,1.6850134369999998
14,100,150,-1,1.773402055
15,100,150,2972,1.734032405
16,100,150,2757,1.766676439
17,100,150,-1,1.705922358
18,100,150,3041,1.763996216
19,100,150,3414,1.7472572430000002
20,100,150,-2,1.7167658940000001
21,100,150,-1,1.795676605
22,100,150,-1,3.238435538
23,100,150,-3,1.742866586
24,100,150,2626,1.78864914
25,100,150,2759,1.9685354330000002
26,100,150,3292,1.789435066
27,100,150,2672,1.775399066
28,100,150,-1,1.875747129
29,100,150,3118,2.137654856
30,100,150,3041,2.024554502
31,100,150,3124,1.773058719
32,100,150,-1,1.763083059
33,100,150,-1,1.698893411
34,100,150,-1,1.783041069
35,100,150,3351,1.7658735840000002
36,100,150,2310,1.8140280119999999
37,100,150,-2,1.767882587
38,100,150,-1,1.6731925019999998
39,100,150,-1,1.71149873
40,100,150,2858,1.831210675
41,100,150,2776,1.722225499
42,100,150,2830,1.825535746
43,100,150,2289,1.6835581999999998
44,100,150,3082,1.798410624
45,100,150,-2,1.746457943
46,100,150,-1,1.754590241
47,100,150,2828,1.706114806
48,100,150,-1,1.734834899
49,100,150,-1,1.69616
50,100,150,3546,1.748197561
51,100,150,2480,1.7309611230000002
52,100,150,-2,1.691842749
53,100,150,3018,1.785394209
54,100,150,-1,1.807343696
55,100,150,-1,1.705703226
56,100,150,2589,1.657873515
57,100,150,-1,1.748285132
58,100,150,2470,1.7616316909999998
59,100,150,-2,1.824529375
60,100,150,-2,1.768064985
61,100,150,2796,1.782554286
62,100,150,-1,1.791443795
63,100,150,3268,1.825011337
64,100,150,3406,1.8060612530000002
65,100,150,3446,1.739867716
66,100,150,3126,1.775724471
67,100,150,-2,1.739331823
68,100,150,3524,1.905558936
69,100,150,3248,1.7835657759999999
70,100,150,3006,1.736743427
71,100,150,2403,1.7062020230000001
72,100,150,3037,1.7283433499999998
73,100,150,3144,1.7683926280000002
74,100,150,-1,1.751421018
75,100,150,-1,1.725708122
76,100,150,3189,1.6972976050000002
77,100,150,-2,1.647032041
78,100,150,-1,1.685310047
79,100,150,2484,1.7709428530000002
80,100,150,2926,1.790684027
81,100,150,2924,1.7317800209999998
82,100,150,3451,1.682548811
83,100,150,2522,1.6406910959999998
84,100,150,-2,1.737657664
85,100,150,3239,1.76891387
86,100,150,-1,1.8248344380000001
87,100,150,3349,1.778374619
88,100,150,-1,1.7449010530000002
89,100,150,3584,1.732600739
90,100,150,-3,1.68837729
91,100,150,2668,1.814368617
92,100,150,2691,1.81783501
93,100,150,-2,1.703966664
94,100,150,-1,1.557733245
95,100,150,3410,1.7206269870000002
96,100,150,2620,1.708262533
97,100,150,3576,1.8762127869999998
98,100,150,-1,1.785388643
99,100,150,3118,1.754309219
