,variables,clauses,fitness,duration
0,100,150,3504,10.95618341
1,100,150,3620,10.628824097999999
2,100,150,3590,11.065240274
3,100,150,2997,10.923933735999999
4,100,150,2981,10.845329028
5,100,150,2890,10.738036564000002
6,100,150,2789,10.83027224
7,100,150,3732,10.675178239
8,100,150,4288,10.789185948
9,100,150,-1,10.25147215
10,100,150,3533,10.920610228
11,100,150,2331,10.720273873
12,100,150,3896,10.851959789
13,100,150,-1,10.667868595
14,100,150,3730,11.461417372
15,100,150,3958,11.637110622
16,100,150,3772,11.487857882
17,100,150,3885,10.782991665
18,100,150,3267,10.889151766
19,100,150,3715,10.852922668
20,100,150,-1,10.174945695
21,100,150,3266,10.172431452
22,100,150,3438,10.579033407
23,100,150,3555,11.455731845
24,100,150,3171,11.816156323
25,100,150,-1,11.083188001
26,100,150,2693,11.292501089000002
27,100,150,-1,10.694036767
28,100,150,3979,10.977665000999998
29,100,150,3884,11.214898260999998
30,100,150,3400,11.157714329000001
31,100,150,-2,10.120437402
32,100,150,3505,10.531089623
33,100,150,3508,10.909172558
34,100,150,3643,11.052591392
35,100,150,3005,10.551603424
36,100,150,-1,11.180469493
37,100,150,3997,11.75266469
38,100,150,2674,11.478916094
39,100,150,3205,14.784094504
40,100,150,-1,13.282460013
41,100,150,3283,12.141076253
42,100,150,3500,11.995798414000001
43,100,150,3020,10.971795504000001
44,100,150,3949,11.126580919
45,100,150,3393,13.260878896
46,100,150,3872,20.968589663
47,100,150,-1,10.394621455
48,100,150,-1,10.57691043
49,100,150,-1,10.161589995
50,100,150,3691,14.232268675
51,100,150,-1,20.379185211
52,100,150,2231,12.104301713
53,100,150,-1,21.595654096999997
54,100,150,3185,11.402280982
55,100,150,3099,10.692212649
56,100,150,2936,9.733451058
57,100,150,3869,25.25816942
58,100,150,3376,11.298323745
59,100,150,3169,14.655307918
60,100,150,3616,11.130144034
61,100,150,2157,10.831371682999999
62,100,150,-1,10.807903055
63,100,150,3868,11.461860514000001
64,100,150,4087,11.848538518
65,100,150,-1,11.269126630999999
66,100,150,3141,11.861547197
67,100,150,-1,10.896056959000001
68,100,150,3580,11.534340808
69,100,150,3992,11.05838082
70,100,150,-1,12.528816542000001
71,100,150,3595,14.196066422000001
72,100,150,3634,14.363116487000001
73,100,150,3226,13.149840554
74,100,150,-1,13.001677085999999
75,100,150,3366,13.028583323
76,100,150,3791,13.065311120999999
77,100,150,3919,12.255165023
78,100,150,3494,11.753252028
79,100,150,3915,11.642819452000001
80,100,150,-2,10.641353872
81,100,150,3646,10.913378199
82,100,150,3739,10.339997461
83,100,150,4361,10.472186694
84,100,150,3481,11.121127897000001
85,100,150,3735,10.935435264
86,100,150,3541,11.322205384
87,100,150,3896,11.166312703
88,100,150,2899,10.606781662000001
89,100,150,-1,10.474236055
90,100,150,-1,10.49279668
91,100,150,3292,11.255040230999999
92,100,150,2564,12.092209317
93,100,150,-1,11.72374253
94,100,150,2890,10.070123587000001
95,100,150,3398,11.17886456
96,100,150,-1,10.314796491000001
97,100,150,4466,11.594176587
98,100,150,2718,10.953411119
99,100,150,-1,10.64804003
