,variables,clauses,fitness,duration
0,100,150,3383,4.968379525
1,100,150,-1,4.729688245
2,100,150,2856,5.04645579
3,100,150,3731,5.759903802
4,100,150,-1,4.817865255
5,100,150,3326,5.5827407760000005
6,100,150,-1,5.062283737
7,100,150,2514,4.695463631
8,100,150,3895,5.547605986000001
9,100,150,3299,5.324129841
10,100,150,2410,5.039448367
11,100,150,4470,5.486754937000001
12,100,150,3242,5.473904346
13,100,150,3285,5.1167562680000005
14,100,150,3516,5.871397994
15,100,150,3084,5.179601263
16,100,150,3417,5.707614317000001
17,100,150,4268,5.45105383
18,100,150,-1,4.936995083999999
19,100,150,3419,5.187249767
20,100,150,2358,4.7732076889999995
21,100,150,2734,4.9645662989999995
22,100,150,3311,5.4091909970000005
23,100,150,3981,5.67963224
24,100,150,3101,5.1699906780000005
25,100,150,3916,5.630721916000001
26,100,150,3911,5.476266394
27,100,150,3157,5.0623017489999995
28,100,150,-2,4.823747261
29,100,150,3272,5.416619407000001
30,100,150,-1,5.048533776
31,100,150,3826,5.302142084
32,100,150,-1,4.859228343
33,100,150,3595,5.241515618
34,100,150,4014,5.496406801
35,100,150,-1,4.857398218
36,100,150,3657,5.591996846
37,100,150,2876,4.993950954
38,100,150,-1,4.71930637
39,100,150,-1,4.983471492
40,100,150,3259,5.727360987999999
41,100,150,-1,4.7131973039999995
42,100,150,3076,5.855696677
43,100,150,3873,5.410325639
44,100,150,-1,5.037975036000001
45,100,150,3380,5.556885324
46,100,150,3485,5.2840150569999995
47,100,150,3383,5.2477170719999995
48,100,150,3004,5.024451733
49,100,150,3268,5.052895468
50,100,150,3939,5.469332587
51,100,150,2923,5.308050274
52,100,150,2985,5.238106857
53,100,150,-1,4.928080358
54,100,150,2890,5.260124972
55,100,150,3801,5.445130265
56,100,150,4014,5.14004421
57,100,150,-1,4.869952385
58,100,150,3576,5.403852607999999
59,100,150,-1,4.93776918
60,100,150,3159,5.071828475
61,100,150,3448,5.475913092000001
62,100,150,3900,5.261664476
63,100,150,-1,5.276862453
64,100,150,3982,5.711954809
65,100,150,3507,5.48616333
66,100,150,3065,5.322941961000001
67,100,150,4117,5.732985874
68,100,150,4045,5.595740935
69,100,150,4185,5.803441707999999
70,100,150,2766,4.88633337
71,100,150,4302,5.486528665
72,100,150,3566,5.131221836
73,100,150,3694,5.499883831
74,100,150,3787,5.518754015
75,100,150,3400,4.966880048999999
76,100,150,3187,5.1945183980000005
77,100,150,3889,5.284861053
78,100,150,3357,5.567654139
79,100,150,2662,4.990014445
80,100,150,-1,5.004812628
81,100,150,3035,5.044340438
82,100,150,-1,4.758720343
83,100,150,3319,4.884867591
84,100,150,2704,5.028227105
85,100,150,-2,4.784312555
86,100,150,2268,5.11513707
87,100,150,3898,5.574429726
88,100,150,3543,5.370377202999999
89,100,150,-1,4.747857664
90,100,150,-1,4.930699046
91,100,150,3253,5.433736086000001
92,100,150,3834,5.901830762
93,100,150,3552,5.563428781
94,100,150,3735,5.137044588
95,100,150,4096,5.525650757999999
96,100,150,3025,5.2876579139999995
97,100,150,3766,5.707003659
98,100,150,3275,5.533348432
99,100,150,-1,4.911576373
