,variables,clauses,fitness,duration
0,100,150,4229,69.298492824
1,100,150,-1,64.820027171
2,100,150,3525,69.561825922
3,100,150,3696,72.598625161
4,100,150,3292,93.636179315
5,100,150,3153,85.60536774399999
6,100,150,3304,81.774945676
7,100,150,3034,67.537789213
8,100,150,3619,66.86471053
9,100,150,3241,65.669222233
10,100,150,-1,64.506203414
11,100,150,4307,67.56744848
12,100,150,2781,66.09088805100001
13,100,150,4083,64.114764961
14,100,150,4096,70.136142534
15,100,150,2866,64.951869066
16,100,150,3642,69.062001062
17,100,150,-2,64.216010402
18,100,150,3413,67.131263047
19,100,150,-1,64.312425247
20,100,150,3212,63.011772558000004
21,100,150,2723,63.770779223999995
22,100,150,3409,79.88811795
23,100,150,3549,73.118886215
24,100,150,-1,63.218105603999994
25,100,150,3593,67.505410328
26,100,150,3361,67.689162365
27,100,150,3900,67.186866779
28,100,150,-1,64.528179434
29,100,150,3094,67.473161565
30,100,150,3606,69.605039016
31,100,150,3416,63.025625318
32,100,150,3805,66.823393986
33,100,150,3541,64.223595589
34,100,150,3624,64.289546621
35,100,150,3497,66.589659625
36,100,150,3724,92.83206463200001
37,100,150,3642,71.338652432
38,100,150,-1,62.805972856000004
39,100,150,3399,67.85704313800001
40,100,150,3034,71.799233565
41,100,150,-2,63.25114684
42,100,150,-1,68.225617307
43,100,150,3475,73.740744472
44,100,150,3049,73.620079586
45,100,150,3492,69.363151692
46,100,150,-1,67.806312805
47,100,150,3799,68.971482908
48,100,150,-1,69.106392048
49,100,150,3724,70.249572199
50,100,150,2307,69.061874915
51,100,150,3545,68.833682118
52,100,150,3509,67.885415376
53,100,150,3492,70.755311127
54,100,150,2980,72.778985224
55,100,150,2179,67.74220123
56,100,150,3791,66.04511836399999
57,100,150,3448,69.894111727
58,100,150,3622,70.071962759
59,100,150,3812,71.301347812
60,100,150,-1,66.846588035
61,100,150,3343,69.439307254
62,100,150,-1,66.255364507
63,100,150,3494,73.310082572
64,100,150,3754,72.267047813
65,100,150,3861,70.027364589
66,100,150,3961,71.394199354
67,100,150,3920,70.762935623
68,100,150,-1,69.242021825
69,100,150,3405,70.267426742
70,100,150,3104,69.08947693
71,100,150,4191,70.56576936
72,100,150,-1,69.273809837
73,100,150,3202,71.494248183
74,100,150,-1,68.766492565
75,100,150,4314,68.13713715899999
76,100,150,2826,67.092091082
77,100,150,3128,68.277111874
78,100,150,-1,66.386328479
79,100,150,-1,69.068259608
80,100,150,3983,70.485775546
81,100,150,-1,67.52509206
82,100,150,3824,65.33480031
83,100,150,3866,64.095296685
84,100,150,-1,65.83837734
85,100,150,3072,65.154515039
86,100,150,3542,70.393337878
87,100,150,3788,68.547656186
88,100,150,4167,67.696388832
89,100,150,3246,65.657466641
90,100,150,3894,66.573308443
91,100,150,3383,70.079296305
92,100,150,-1,66.909195219
93,100,150,3213,67.034994
94,100,150,-1,59.205920435
95,100,150,3594,67.261436885
96,100,150,2844,64.351971598
97,100,150,3103,66.779648613
98,100,150,2814,66.418664912
99,100,150,3547,67.84368581300001
